Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,LogSalary
Medicine,Business Analyst,48.0,Male,7.0,High School,High,7.0,10.0,83.0,198266.0,8.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,5.297248244823556
Education,Economist,44.0,Male,26.0,Master's,Low,10.0,3.0,55.0,96803.0,9.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,9.0,0.0,4.985888816639559
Education,Biologist,21.0,Female,27.0,Master's,,8.0,3.0,78.0,65920.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.8190171986890595
Education,Business Analyst,33.0,Male,14.0,PhD,Medium,7.0,9.0,,85591.0,5.0,0.0,,0.0,0.0,0.0,9.0,0.0,1.0,0.0,4.932428100473536
Arts,Doctor,28.0,Female,0.0,PhD,Low,3.0,1.0,8.0,43986.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0,4.64331446988973
Medicine,Lawyer,56.0,Male,39.0,Bachelor's,Low,3.0,1.0,99.0,143252.0,3.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,5.156100694045365
Medicine,Software Developer,51.0,Female,29.0,High School,Low,7.0,4.0,13.0,92623.0,7.0,0.0,6.0,1.0,0.0,1.0,4.0,1.0,10.0,0.0,4.96671884340745
Medicine,Artist,58.0,Female,32.0,High School,High,9.0,4.0,77.0,85016.0,3.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.929500667570718
Computer Science,Software Developer,31.0,Female,38.0,Bachelor's,Low,1.0,5.0,56.0,123264.0,1.0,1.0,6.0,1.0,0.0,0.0,10.0,1.0,7.0,1.0,5.090836256772403
Business,Doctor,30.0,Female,16.0,Master's,Medium,8.0,5.0,98.0,119045.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,5.075711159354416
Business,Doctor,52.0,Female,38.0,Bachelor's,High,9.0,9.0,50.0,77254.0,10.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,4.887920975254849
Arts,Artist,54.0,Male,15.0,Master's,Medium,8.0,1.0,24.0,190371.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.279600791216441
Mechanical Engineering,Economist,54.0,Female,35.0,High School,High,5.0,4.0,8.0,116416.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,5.0660126730473705
Biology,Software Developer,47.0,Male,32.0,High School,High,3.0,4.0,35.0,139616.0,1.0,1.0,5.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0,5.144935191306726
Computer Science,Business Analyst,40.0,Female,22.0,High School,Low,2.0,9.0,95.0,184165.0,10.0,1.0,8.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,5.2652070973528975
Law,Software Developer,28.0,Male,38.0,High School,Medium,7.0,10.0,99.0,59592.0,8.0,1.0,10.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,4.7751879612661705
Mechanical Engineering,Doctor,41.0,Male,24.0,Bachelor's,Low,6.0,10.0,58.0,61024.0,4.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,4.785500671365912
Economics,Business Analyst,49.0,Male,34.0,Master's,High,2.0,10.0,30.0,116672.0,8.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,10.0,1.0,5.066966642638864
Education,Software Developer,53.0,Female,24.0,PhD,High,5.0,1.0,16.0,174572.0,7.0,,5.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,5.241974587475817
Computer Science,Business Analyst,24.0,Female,15.0,Bachelor's,Medium,5.0,7.0,100.0,86573.0,5.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,4.937382467313653
Biology,Business Analyst,35.0,Female,15.0,Master's,Medium,1.0,4.0,24.0,41938.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,4.62260771535978
Mechanical Engineering,Psychologist,42.0,Male,25.0,PhD,High,10.0,10.0,90.0,95953.0,3.0,0.0,4.0,0.0,1.0,1.0,5.0,0.0,9.0,0.0,4.982058557634054
Business,Teacher,56.0,Male,23.0,PhD,Low,1.0,3.0,36.0,67841.0,1.0,0.0,8.0,1.0,0.0,1.0,9.0,2.0,9.0,1.0,4.8314922409479655
Computer Science,Software Developer,39.0,Female,24.0,Bachelor's,High,3.0,1.0,100.0,177851.0,9.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,5.2500563114293675
Arts,Business Analyst,40.0,Female,22.0,PhD,High,7.0,5.0,42.0,51689.0,7.0,1.0,10.0,0.0,0.0,1.0,9.0,1.0,10.0,1.0,4.713398130181177
Computer Science,Economist,26.0,Female,12.0,PhD,Medium,9.0,2.0,27.0,49065.0,2.0,0.0,5.0,0.0,0.0,1.0,7.0,0.0,4.0,1.0,4.690771803180663
Business,Economist,50.0,Male,38.0,Master's,Medium,10.0,3.0,39.0,45485.0,3.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,4.65786819904679
Arts,Software Developer,44.0,Female,32.0,Bachelor's,High,6.0,10.0,44.0,159695.0,5.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,5.2032913187283185
Biology,Economist,22.0,Female,22.0,High School,Low,10.0,8.0,76.0,53959.0,5.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,4.732063892473065
Computer Science,Artist,52.0,Male,19.0,High School,High,3.0,6.0,82.0,86178.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.935396410858838
Mechanical Engineering,Software Developer,30.0,Male,25.0,Master's,High,6.0,1.0,77.0,181456.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,2.0,5.0,0.0,5.258771333097666
Medicine,Biologist,56.0,Female,9.0,Master's,High,5.0,9.0,1.0,75106.0,4.0,0.0,1.0,0.0,,0.0,2.0,1.0,6.0,0.0,4.87567463291369
Psychology,Mechanical Engineer,31.0,Male,4.0,Bachelor's,Medium,9.0,1.0,47.0,45254.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,4.655656972516931
Mechanical Engineering,Business Analyst,57.0,Male,23.0,Master's,Medium,7.0,10.0,51.0,73088.0,5.0,0.0,10.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,4.863846077893716
Psychology,Artist,42.0,Male,15.0,Master's,Low,6.0,8.0,4.0,155827.0,8.0,0.0,3.0,0.0,0.0,0.0,,1.0,10.0,0.0,5.192642709659269
Economics,Biologist,25.0,Male,4.0,High School,Medium,2.0,1.0,78.0,121865.0,9.0,0.0,9.0,1.0,1.0,0.0,10.0,0.0,8.0,1.0,5.0858789928255606
Computer Science,Psychologist,34.0,Male,21.0,Bachelor's,Medium,7.0,8.0,2.0,177820.0,10.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,5.2499806059095295
Psychology,Psychologist,34.0,Female,24.0,Master's,High,10.0,7.0,57.0,80448.0,7.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.905515251669845
Economics,Mechanical Engineer,27.0,Female,18.0,Bachelor's,High,5.0,6.0,52.0,78447.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,4.894576339785822
Medicine,Artist,22.0,Male,30.0,PhD,High,4.0,8.0,95.0,46389.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,8.0,1.0,4.666415010605355
Education,Psychologist,24.0,Female,25.0,Bachelor's,Low,4.0,1.0,20.0,198048.0,1.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,8.0,1.0,5.29677046101272
Education,Biologist,42.0,Female,1.0,High School,Medium,4.0,1.0,63.0,138872.0,1.0,0.0,8.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,5.142614690148611
Law,Artist,53.0,Female,34.0,Master's,High,8.0,6.0,60.0,167023.0,8.0,1.0,5.0,1.0,0.0,0.0,10.0,1.0,4.0,1.0,5.222776280041579
Arts,Teacher,44.0,Female,39.0,PhD,Low,8.0,3.0,38.0,132974.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,5.123766732994386
Psychology,Doctor,27.0,Female,14.0,Master's,High,1.0,4.0,94.0,170518.0,4.0,1.0,9.0,1.0,,0.0,2.0,1.0,5.0,1.0,5.231770230179308
Education,Software Developer,57.0,Male,30.0,Master's,High,8.0,4.0,56.0,159038.0,8.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0,5.0,0.0,5.201500905569175
Business,Teacher,59.0,Female,5.0,,Low,10.0,10.0,13.0,103319.0,2.0,0.0,8.0,0.0,1.0,1.0,5.0,2.0,10.0,0.0,5.014180194088739
Computer Science,Teacher,28.0,Female,28.0,Bachelor's,High,6.0,7.0,1.0,106589.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,2.0,9.0,1.0,5.027712387750607
Biology,,29.0,Female,25.0,High School,Low,4.0,,90.0,169649.0,7.0,0.0,2.0,,0.0,0.0,8.0,0.0,7.0,1.0,5.229551304029696
Business,Economist,43.0,Male,28.0,Master's,Low,6.0,10.0,28.0,177313.0,5.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,7.0,0.0,5.248740577796592
Computer Science,Doctor,38.0,,31.0,Bachelor's,High,1.0,8.0,19.0,179521.0,1.0,,2.0,0.0,0.0,1.0,4.0,0.0,8.0,1.0,5.254115258767647
Medicine,Doctor,22.0,Female,9.0,Bachelor's,Low,2.0,1.0,87.0,135947.0,2.0,1.0,8.0,0.0,0.0,0.0,8.0,1.0,9.0,1.0,5.133369628269078
Biology,Psychologist,52.0,Female,7.0,Bachelor's,Low,8.0,8.0,46.0,114458.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,5.058646152925223
Psychology,Psychologist,55.0,Male,17.0,Bachelor's,High,5.0,4.0,11.0,133145.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,5.124324862001534
Education,Economist,43.0,Male,9.0,Bachelor's,Low,7.0,1.0,81.0,32573.0,9.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,4.512857759284724
Economics,Mechanical Engineer,40.0,Female,35.0,High School,Medium,2.0,1.0,37.0,151829.0,10.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,9.0,1.0,5.18135473161936
Biology,Doctor,29.0,Male,16.0,Bachelor's,High,10.0,2.0,54.0,180322.0,5.0,0.0,10.0,0.0,0.0,1.0,7.0,2.0,6.0,0.0,5.256048715606129
Mechanical Engineering,Doctor,43.0,Female,21.0,High School,High,10.0,4.0,20.0,144130.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,8.0,1.0,5.158754386632288
Computer Science,Software Developer,44.0,Male,39.0,Bachelor's,High,7.0,3.0,3.0,58145.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.764512374855157
Education,Artist,31.0,Female,15.0,PhD,Low,8.0,5.0,81.0,162822.0,5.0,0.0,6.0,0.0,0.0,1.0,10.0,2.0,10.0,0.0,5.2117130850316045
Medicine,Software Developer,42.0,Female,20.0,Bachelor's,Medium,7.0,5.0,7.0,172194.0,8.0,1.0,7.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,5.23601801464209
Law,Psychologist,53.0,Male,36.0,Master's,Medium,7.0,7.0,39.0,124071.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,5.093670282612619
Education,Mechanical Engineer,49.0,Male,12.0,High School,Medium,3.0,7.0,46.0,46371.0,1.0,0.0,5.0,1.0,1.0,1.0,9.0,2.0,7.0,1.0,4.666246461645191
Business,Biologist,20.0,Female,2.0,High School,Medium,8.0,2.0,68.0,193985.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.287768149161733
Economics,Doctor,43.0,Male,12.0,Bachelor's,High,7.0,4.0,4.0,158583.0,4.0,1.0,6.0,0.0,0.0,0.0,9.0,0.0,10.0,1.0,5.200256629375626
Psychology,Lawyer,25.0,Male,4.0,Bachelor's,Low,7.0,1.0,9.0,106898.0,4.0,1.0,10.0,0.0,0.0,1.0,6.0,0.0,8.0,1.0,5.028969579885213
Arts,Artist,23.0,Female,36.0,Bachelor's,Low,9.0,8.0,67.0,73642.0,9.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,4.86712557474193
Law,Biologist,45.0,Female,5.0,,High,5.0,1.0,40.0,170588.0,3.0,1.0,8.0,0.0,0.0,1.0,3.0,0.0,9.0,1.0,5.231948477493398
Arts,Biologist,55.0,Male,26.0,Bachelor's,Low,5.0,10.0,31.0,567896543.0,10.0,0.0,5.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,8.754269224977536
Arts,Software Developer,59.0,,33.0,PhD,High,3.0,6.0,83.0,59257.0,9.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.77273966070418
Education,Economist,20.0,Female,25.0,PhD,Low,2.0,2.0,14.0,198639.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,10.0,1.0,5.298064520201486
Medicine,Teacher,53.0,Female,33.0,High School,High,3.0,9.0,39.0,71846.0,4.0,1.0,4.0,1.0,1.0,0.0,5.0,2.0,5.0,1.0,4.85640259395549
Business,Economist,38.0,Male,4.0,Master's,Low,1.0,10.0,38.0,181054.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,5.0,1.0,5.25780812406459
